Camera,Phase,Beginning,End,Week,Detections,Foxlight,Season
Cam02,5,5/19/19,5/25/19,9,0,FoxY,Spring
Cam02,5,5/26/19,6/1/19,10,0,FoxY,Spring
Cam02,5,6/2/19,6/8/19,11,0,FoxY,Spring
Cam02,5,6/9/19,6/16/19,12,0,FoxY,Spring
Cam02,6,6/16/19,6/22/19,1,0,FoxN,Summer
Cam02,6,6/23/19,6/2919,2,0,FoxN,Summer
Cam02,6,6/30/19,7/6/19,3,0,FoxN,Summer
Cam02,6,7/7/19,7/13/19,4,0,FoxN,Summer
Cam02,6,7/14/19,7/20/19,5,0,FoxN,Summer
Cam02,6,7/21/19,7/27/19,6,0,FoxN,Summer
Cam02,6,7/28/19,8/3/19,7,0,FoxN,Summer
Cam02,6,8/4/19,8/10/19,8,0,FoxN,Summer
Cam02,6,8/11/19,8/17/19,9,0,FoxN,Summer
Cam02,6,8/18/19,8/24/19,10,0,FoxN,Summer
Cam02,6,8/25/19,8/29/19,11,0,FoxN,Summer
Cam02,7,8/29/19,9/4/19,1,0,FoxY,Summer
Cam02,7,9/5/19,9/11/19,2,0,FoxY,Summer
Cam02,7,9/12/19,9/18/19,3,1,FoxY,Summer
Cam02,7,9/19/19,9/25/19,4,0,FoxY,Fall
Cam02,7,9/26/19,10/2/19,5,0,FoxY,Fall
Cam02,7,10/3/19,10/10/19,6,2,FoxY,Fall
Cam02,8,10/10/19,10/16/19,1,1,FoxN,Fall
Cam02,8,10/17/19,10/23/19,2,2,FoxN,Fall
Cam02,8,10/24/19,10/30/19,3,0,FoxN,Fall
Cam02,8,10/31/19,11/6/19,4,0,FoxN,Fall
Cam02,8,11/7/19,11/13/19,5,0,FoxN,Fall
Cam02,8,11/14/19,11/20/19,6,0,FoxN,Fall
Cam02,8,11/21/19,11/27/19,7,0,FoxN,Fall
Cam02,8,11/28/19,12/4/19,8,0,FoxN,Fall
Cam02,8,12/5/19,12/11/19,9,1,FoxN,Fall
Cam02,9,12/11/19,12/17/19,1,0,FoxY,Fall
Cam02,9,12/18/19,12/24/19,2,0,FoxY,Winter
Cam02,9,12/25/19,12/31/19,3,0,FoxY,Winter
Cam02,9,1/1/20,1/7/20,4,0,FoxY,Winter
Cam02,9,1/8/20,1/14/20,5,0,FoxY,Winter
Cam02,9,1/15/20,1/21/20,6,0,FoxY,Winter
Cam02,9,1/22/20,1/29/20,7,0,FoxY,Winter
Cam03,1,10/6/18,10/12/18,1,2,FoxN,Fall
Cam03,1,10/13/18,10/19/18,2,1,FoxN,Fall
Cam03,1,10/20/18,10/26/18,3,1,FoxN,Fall
Cam03,1,10/27/18,11/2/18,4,1,FoxN,Fall
Cam03,1,11/3/18,11/9/18,5,4,FoxN,Fall
Cam03,1,11/10/18,11/18/18,6,1,FoxN,Fall
Cam03,2,11/18/18,11/24/18,1,0,FoxY,Fall
Cam03,2,11/25/18,12/1/18,2,0,FoxY,Fall
Cam03,2,12/2/18,12/8/18,3,2,FoxY,Fall
Cam03,2,12/9/18,12/15/18,4,2,FoxY,Fall
Cam03,2,12/16/18,12/22/18,5,2,FoxY,Winter
Cam03,2,12/23/18,12/29/18,6,0,FoxY,Winter
Cam03,2,12/30/18,1/5/19,7,3,FoxY,Winter
Cam03,2,1/6/19,1/13/19,8,0,FoxY,Winter
Cam03,3,1/13/19,1/19/19,1,0,FoxN,Winter
Cam03,3,1/20/19,1/26/19,2,2,FoxN,Winter
Cam03,3,1/27/19,2/2/19,3,1,FoxN,Winter
Cam03,3,2/3/19,2/9/19,4,0,FoxN,Winter
Cam03,3,2/10/19,2/17/19,5,0,FoxN,Winter
Cam03,4,2/17/19,2/23/19,1,0,FoxY,Winter
Cam03,4,2/24/19,3/2/19,2,1,FoxY,Winter
Cam03,4,3/3/19,3/9/19,3,1,FoxY,Winter
Cam03,4,3/10/19,3/16/19,4,3,FoxY,Winter
Cam03,4,3/17/19,3/24/19,5,2,FoxY,Spring
Cam03,5,3/24/19,3/30/19,1,4,FoxN,Spring
Cam03,5,3/31/19,4/6/19,2,4,FoxN,Spring
Cam03,5,4/7/19,4/13/19,3,4,FoxN,Spring
Cam03,5,4/14/19,4/20/19,4,2,FoxN,Spring
Cam03,5,4/21/19,4/27/19,5,2,FoxN,Spring
Cam03,5,4/28/19,5/4/19,6,0,FoxN,Spring
Cam03,5,5/5/19,5/11/19,7,0,FoxN,Spring
Cam03,5,5/12/19,5/18/19,8,0,FoxN,Spring
Cam03,5,5/19/19,5/25/19,9,0,FoxN,Spring
Cam03,5,5/26/19,6/1/19,10,0,FoxN,Spring
Cam03,5,6/2/19,6/8/19,11,0,FoxN,Spring
Cam03,5,6/9/19,6/16/19,12,0,FoxN,Spring
Cam03,6,6/27/19,,1,0,FoxY,Summer
Cam03,6,,,2,0,FoxY,Summer
Cam03,6,,,3,0,FoxY,Summer
Cam03,6,,,4,0,FoxY,Summer
Cam03,6,,,5,0,FoxY,Summer
Cam03,6,,,6,0,FoxY,Summer
Cam03,6,,,7,0,FoxY,Summer
Cam03,6,,,8,0,FoxY,Summer
Cam03,6,,,9,0,FoxY,Summer
Cam03,6,,,10,0,FoxY,Summer
Cam03,6,,8/29/19,11,0,FoxY,Summer
Cam03,7,8/29/19,9/4/19,1,0,FoxN,Summer
Cam03,7,9/5/19,9/11/19,2,0,FoxN,Summer
Cam03,7,9/12/19,9/18/19,3,0,FoxN,Summer
Cam03,7,9/19/19,9/25/19,4,0,FoxN,Fall
Cam03,7,9/26/19,10/2/19,5,0,FoxN,Fall
Cam03,7,10/3/19,10/10/19,6,0,FoxN,Fall
Cam03,8,10/10/19,10/16/19,1,1,FoxY,Fall
Cam03,8,10/17/19,10/23/19,2,3,FoxY,Fall
Cam03,8,10/24/19,10/30/19,3,1,FoxY,Fall
Cam03,8,10/31/19,11/6/19,4,1,FoxY,Fall
Cam03,8,11/7/19,11/13/19,5,1,FoxY,Fall
Cam03,8,11/14/19,11/20/19,6,2,FoxY,Fall
Cam03,8,11/21/19,11/27/19,7,6,FoxY,Fall
Cam03,8,11/28/19,12/4/19,8,3,FoxY,Fall
Cam03,8,12/5/19,12/11/19,9,2,FoxY,Fall
Cam03,9,12/11/19,12/17/19,1,1,FoxN,Fall
Cam03,9,12/18/19,12/24/19,2,2,FoxN,Winter
Cam03,9,12/25/19,12/31/19,3,3,FoxN,Winter
Cam03,9,1/1/20,1/7/20,4,3,FoxN,Winter
Cam03,9,1/8/20,1/14/20,5,2,FoxN,Winter
Cam03,9,1/15/20,1/21/20,6,3,FoxN,Winter
Cam03,9,1/22/20,1/29/20,7,4,FoxN,Winter
