"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected","Time_Decimal","Time_Scaled","Time_Radians","Time_Sun"
"1",3,"A03","A03_031819_062519","Bobcat","4/1/2019 21:15","4/1/2019","21:15:20",0,"Reviewed Phase 3/A03_031819_062519/Bobcat","IMG_0055.JPG","Bobcat",NA,NA,NA,TRUE,"21H 15M 20S",21.25555556,0.885648148,5.564691432,5.17106597
"490",3,"B04","B04_031819_061719","Bobcat","4/17/2019 16:29","4/17/2019","16:29:22",0,"Reviewed Phase 3/B04_031819_061719/Bobcat","IMG_0883.JPG","Bobcat",NA,NA,NA,TRUE,"16H 29M 22S",16.48944444,0.687060185,4.316926461,3.917444424
"640",3,"B04","B04_061719_090919","Bobcat","8/11/2019 5:48","8/11/2019","5:48:57",0,"Reviewed Phase 3/B04_061719_090919/Bobcat","IMG_0283.JPG","Bobcat",NA,NA,NA,TRUE,"5H 48M 57S",5.815833333,0.242326389,1.522581606,1.40055476
"1705",3,"B12","B12_032119_070219","Bobcat","6/16/2019 6:38","6/16/2019","6:38:06",0,"Reviewed Phase 3/B12_032119_070219/Bobcat","IMG_1216.JPG","Bobcat",NA,NA,NA,TRUE,"6H 38M 6S",6.635,0.276458333,1.737038938,1.753401572
"1746",3,"B12","B12_032119_070219","Sheep","4/29/2019 7:13","4/29/2019","7:13:11",84146,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0316.JPG","Sheep",NA,NA,NA,TRUE,"7H 13M 11S",7.219722222,0.300821759,1.890118858,1.784853107
"1749",3,"B12","B12_032119_070219","Sheep","4/30/2019 16:57","4/30/2019","16:57:38",35390,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0352.JPG","Sheep",NA,NA,NA,TRUE,"16H 57M 38S",16.96055556,0.706689815,4.440263061,4.005454747
"1752",3,"B12","B12_032119_070219","Sheep","5/2/2019 6:31","5/2/2019","6:31:20",45831,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0472.JPG","Sheep",NA,NA,NA,TRUE,"6H 31M 20S",6.522222222,0.271759259,1.707513785,1.639052773
"1755",3,"B12","B12_032119_070219","Sheep","5/3/2019 6:24","5/3/2019","6:24:50",78847,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0685.JPG","Sheep",NA,NA,NA,TRUE,"6H 24M 50S",6.413888889,0.26724537,1.679152185,1.618849536
"1758",3,"B12","B12_032119_070219","Sheep","5/3/2019 8:52","5/3/2019","8:52:41",1045,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0895.JPG","Sheep",NA,NA,NA,TRUE,"8H 52M 41S",8.878055556,0.369918981,2.324269509,2.175200269
"1761",3,"B12","B12_032119_070219","Sheep","5/4/2019 7:05","5/4/2019","7:05:55",1103,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_0964.JPG","Sheep",NA,NA,NA,TRUE,"7H 5M 55S",7.098611111,0.295775463,1.858412043,1.777273899
"1764",3,"B12","B12_032119_070219","Sheep","5/5/2019 9:04","5/5/2019","9:04:06",6291,"Reviewed Phase 3/B12_032119_070219/Sheep","IMG_1025.JPG","Sheep",NA,NA,NA,TRUE,"9H 4M 6S",9.068333333,0.377847222,2.374084115,2.223495018
"1850",3,"B12","B12_091619_122019","Dog","11/28/2019 22:49","11/28/2019","22:49:23",26343,"Reviewed Phase 3/B12_091619_122019/Dog","IMG_0523.JPG","Dog",NA,NA,NA,FALSE,"22H 49M 23S",22.82305556,0.950960648,5.975061972,6.024030646
"1853",3,"B12","B12_091619_122019","Dog","12/18/2019 10:06","12/18/2019","10:06:29",168909,"Reviewed Phase 3/B12_091619_122019/Dog","IMG_0682.JPG","Dog",NA,NA,NA,FALSE,"10H 6M 29S",10.10805556,0.421168981,2.646282756,2.462065984
"1857",3,"B12","B12_091619_122019","Sheep","12/1/2019 8:45","12/1/2019","8:45:57",234937,"Reviewed Phase 3/B12_091619_122019/Sheep","IMG_0535.JPG","Sheep",NA,NA,NA,FALSE,"8H 45M 57S",8.765833333,0.365243056,2.2948898,2.080684785
"1860",3,"B12","B12_091619_122019","Sheep","12/7/2019 14:25","12/7/2019","14:25:56",263247,"Reviewed Phase 3/B12_091619_122019/Sheep","IMG_0604.JPG","Sheep",NA,NA,NA,FALSE,"14H 25M 56S",14.43222222,0.601342593,3.778346942,3.922539214
"1863",3,"B12","B12_091619_122019","Sheep","12/18/2019 10:06","12/18/2019","10:06:29",662573,"Reviewed Phase 3/B12_091619_122019/Sheep","IMG_0682.JPG","Sheep",NA,NA,NA,FALSE,"10H 6M 29S",10.10805556,0.421168981,2.646282756,2.462065984
"1873",3,"B12","B12_121118_032119","Bobcat","3/18/2019 7:28","3/18/2019","7:28:24",0,"Reviewed Phase 3/B12_121118_032119/Bobcat","IMG_0784.JPG","Bobcat",NA,NA,NA,TRUE,"7H 28M 24S",7.473333333,0.311388889,1.956514091,1.611251617
"1895",3,"B12","B12_121118_032119","Dog","1/21/2019 23:44","1/21/2019","23:44:39",1066907,"Reviewed Phase 3/B12_121118_032119/Dog","IMG_0634.JPG","Dog",NA,NA,NA,FALSE,"23H 44M 39S",23.74416667,0.989340278,6.216208297,6.13775614
"1898",3,"B12","B12_121118_032119","Dog","2/16/2019 8:08","2/16/2019","8:08:27",2160466,"Reviewed Phase 3/B12_121118_032119/Dog","IMG_0697.JPG","Dog",NA,NA,NA,FALSE,"8H 8M 27S",8.140833333,0.339201389,2.131265183,1.890019265
