Camera,Phase,Species,Detections,Latitude,Longitude,Operation,RAI,Ind_Dogs,Dogs_Scaled,LGD,Sheep,elevation.clean,slope.clean,vegetation.clean,fence.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
C05,1,LYRU,2,39.02836,-123.08619,573,0.003490401,0,,N,,0.663161099,-0.429488808,5,-0.278587222,0.805100262,-0.678063571,1.002958417,0.371602833,0.035271123,-0.709258676,-0.474934995,0.810809135,0.3794415,-1.184317231,-0.418791205,2.368860722,-1.184317231
C05,1,Dogs,0,39.02836,-123.08619,573,0,0,,N,,0.663161099,1.515193701,9,-0.613995016,0.494240791,-0.575475931,-0.512109041,0.620879948,0.584344625,0.71180594,0.917906046,1.85942018,0.3794415,1.429603696,2.129580259,1.174814343,1.429603696
C07,1,LYRU,2,39.02201,-123.08588,545,0.003669725,0,,N,,0.116062872,-0.642665744,5,0.400237858,-1.029499412,-0.56074053,0.405984551,0.232285321,0.692654729,1.400452733,1.359361529,0.232548967,0.3794415,-1.156721234,-0.431181371,-0.173407033,-1.156721234
C07,1,Dogs,0,39.02201,-123.08588,545,0,0,,N,,0.116062872,-0.270588815,2,-0.915440917,-0.703951478,0.902638733,-0.626088738,-0.638937175,-0.601334751,-0.294674069,-0.038113732,-0.184118107,0.3794415,0.252871245,-0.51074785,-0.912235439,0.252871245
C09,1,LYRU,2,39.01465,-123.08611,626,0.003194888,0,,N,,-0.480375111,-0.40242365,9,1.456620693,2.130068302,0.464528203,-0.757147551,-0.635078847,-0.811038494,-1.029243231,-1.199134707,-1.25588882,-2.975021601,-0.182361513,-0.356598675,-0.894198358,-0.182361513
C09,1,Dogs,0,39.01465,-123.08611,626,0,0,,N,,-0.480375111,0.079320557,5,0.748503566,-1.167732,-0.775205851,-0.282340765,-0.642421842,-0.828790665,-1.26664865,-1.444385171,0.298122257,0.3794415,-1.245832086,-0.556831002,0.836038053,-1.245832086
C11,1,LYRU,4,39.0082,-123.08518,486,0.008230453,3,,Y,,-0.868571937,1.167119503,9,-0.144955173,1.153592944,-0.432939321,0.062600508,-0.21318908,-0.532344818,-1.050914764,-1.358942628,-0.812200785,0.3794415,-0.079357348,-0.478622437,1.727857828,-0.079357348
C11,1,Dogs,36,39.0082,-123.08518,486,0.074074074,3,,Y,,-0.868571937,-1.137272,9,-0.644870579,-0.900257349,-0.842119157,-0.938552082,-1.220218658,-1.146818042,-0.78167367,-0.448038489,2.697852135,0.3794415,0.941177189,-0.728346348,2.255724669,0.941177189
C15,1,LYRU,16,38.99488,-123.08437,566,0.028268551,3,,Y,,-0.897571683,0.144351989,9,-0.723986864,-0.217955336,-0.749827564,-0.413117498,-0.036241058,-0.162531406,0.030888617,0.146936163,0.592674732,0.3794415,1.430639386,0.477091342,1.825463653,1.430639386
C15,1,Dogs,46,38.99488,-123.08437,566,0.081272085,3,,Y,,-0.897571683,-0.950709164,5,-0.723633289,-0.208702967,-0.672615886,-0.822892845,-0.906201839,-0.768712163,-0.551864445,-0.058484804,2.299818277,0.3794415,-1.457175493,1.932070255,0.978365004,-1.457175493
C17,1,LYRU,2,38.98819,-123.08453,567,0.003527337,1,,Y,,-1.206950784,0.031481117,5,0.483976871,-1.025218248,-0.723394573,-0.501649141,-0.853357792,-0.449255705,0.322232455,1.017757297,0.582051456,0.3794415,-1.226728797,-0.601989269,-0.793610215,-1.226728797
C17,1,Dogs,1,38.98819,-123.08453,567,0.001763668,1,,Y,,-1.206950784,0.125633106,9,3.729572535,-0.519168794,0.153969139,-0.803610623,-0.691608071,-0.381783813,-0.140444294,-0.222346187,-0.806175292,0.3794415,0.622489452,-0.805059671,-0.832609296,0.622489452
D04,1,LYRU,3,39.032,-123.07932,640,0.0046875,0,,N,,1.350430489,-0.645525455,5,0.189415574,-0.499613941,-0.200086713,-0.763103008,-1.073058248,-0.784784675,-1.083811402,-1.279471755,-0.686582267,0.3794415,-0.965373933,-0.630045176,-0.698007762,-0.965373933
D04,1,Dogs,0,39.032,-123.07932,640,0,0,,N,,1.350430489,-0.411188513,9,-0.16766642,-0.851979136,-0.259029955,0.086445518,-0.636775255,-1.229196072,-1.235325694,-1.323605061,-0.914947212,0.3794415,-0.097642817,0.13541013,-0.122997232,-0.097642817
D06,1,LYRU,5,39.02524,-123.0786,576,0.008680556,0,,N,,0.91482234,-0.217417449,5,0.785151005,1.844766021,0.434401989,-0.549284935,-0.438321739,-0.313378036,-0.746003389,-1.143716335,-0.027176457,0.3794415,0.174320415,-0.652088881,-0.631501794,0.174320415
D06,1,Dogs,0,39.02524,-123.0786,576,0,0,,N,,0.91482234,-0.805437863,2,0.660149813,0.635703444,-0.624078393,-0.732098937,-0.331949383,-0.58373636,-0.830757082,-0.769478023,-0.665262163,0.3794415,1.321407199,0.39529565,-0.806218743,1.321407199
D08,1,LYRU,1,39.01839,-123.07802,390,0.002564103,0,,N,,0.244259447,,,,,,,,,,,,,,,,
D08,1,Dogs,0,39.01839,-123.07802,390,0,0,,N,,0.244259447,,,,,,,,,,,,,,,,
D10,1,LYRU,0,39.01199,-123.07796,424,0,0,,N,,-0.217530221,,,,,,,,,,,,,,,,
D10,1,Dogs,0,39.01199,-123.07796,424,0,0,,N,,-0.217530221,,,,,,,,,,,,,,,,
D12,1,LYRU,5,39.00478,-123.07772,623,0.008025682,2,,Y,,-0.745918572,,,,,,,,,,,,,,,,
D12,1,Dogs,2,39.00478,-123.07772,623,0.003210273,2,,Y,,-0.745918572,,,,,,,,,,,,,,,,
D14,1,LYRU,10,38.99776,-123.07731,573,0.017452007,2,,Y,,-0.791820228,,,,,,,,,,,,,,,,
D14,1,Dogs,3,38.99776,-123.07731,573,0.005235602,2,,Y,,-0.791820228,,,,,,,,,,,,,,,,
D16,1,LYRU,2,38.99145,-123.07739,554,0.003610108,0,,N,,-0.723310411,,,,,,,,,,,,,,,,
D16,1,Dogs,0,38.99145,-123.07739,554,0,0,,N,,-0.723310411,,,,,,,,,,,,,,,,
E05,1,LYRU,6,39.02881,-123.07079,615,0.009756098,0,,N,,1.65776968,,,,,,,,,,,,,,,,
E05,1,Dogs,0,39.02881,-123.07079,615,0,0,,N,,1.65776968,,,,,,,,,,,,,,,,
E07,1,LYRU,2,39.0221,-123.0712,575,0.003478261,0,,N,,0.827749372,,,,,,,,,,,,,,,,
E07,1,Dogs,0,39.0221,-123.0712,575,0,0,,N,,0.827749372,,,,,,,,,,,,,,,,
E09,1,LYRU,1,39.0153,-123.0707,629,0.001589825,0,,N,,0.269932121,,,,,,,,,,,,,,,,
E09,1,Dogs,0,39.0153,-123.0707,629,0,0,,N,,0.269932121,,,,,,,,,,,,,,,,
E11,1,LYRU,2,39.00868,-123.07081,576,0.003472222,0,,N,,-0.340461224,,,,,,,,,,,,,,,,
E11,1,Dogs,0,39.00868,-123.07081,576,0,0,,N,,-0.340461224,,,,,,,,,,,,,,,,
E13,1,LYRU,4,39.00151,-123.07004,619,0.006462036,1,,Y,,-0.839186609,,,,,,,,,,,,,,,,
E13,1,Dogs,2,39.00151,-123.07004,619,0.003231018,1,,Y,,-0.839186609,,,,,,,,,,,,,,,,
E15,1,LYRU,18,38.99478,-123.06953,595,0.030252101,1,,Y,,-0.870527864,,,,,,,,,,,,,,,,
E15,1,Dogs,2,38.99478,-123.06953,595,0.003361345,1,,Y,,-0.870527864,,,,,,,,,,,,,,,,
E17,1,LYRU,2,38.98867,-123.06975,585,0.003418803,3,,Y,,-0.960982919,,,,,,,,,,,,,,,,
E17,1,Dogs,68,38.98867,-123.06975,585,0.116239316,3,,Y,,-0.960982919,,,,,,,,,,,,,,,,
F04,1,LYRU,5,39.03244,-123.06379,506,0.009881423,0,,N,,1.888431549,,,,,,,,,,,,,,,,
F04,1,Dogs,0,39.03244,-123.06379,506,0,0,,N,,1.888431549,,,,,,,,,,,,,,,,
