Camera,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,Directory,FileName,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C11,C11_031617_060917,Sheep,3/21/2017 16:31,3/21/2017,16:31:17,5750,Reviewed/C11_031617_060917/Sheep,IMG_0103.JPG,TRUE,16H 31M 17S,16.52138889,0.688391204,4.325289497,3.964099468
C11,C11_031617_060917,Sheep,3/22/2017 10:23,3/22/2017,10:23:54,34963,Reviewed/C11_031617_060917/Sheep,IMG_0133.JPG,TRUE,10H 23M 54S,10.39833333,0.433263889,2.722277301,2.391364929
C11,C11_031617_060917,Sheep,3/22/2017 14:21,3/22/2017,14:21:53,7912,Reviewed/C11_031617_060917/Sheep,IMG_0148.JPG,TRUE,14H 21M 53S,14.36472222,0.598530093,3.760675484,3.409122479
C11,C11_031617_060917,Sheep,3/22/2017 19:29,3/22/2017,19:29:21,10474,Reviewed/C11_031617_060917/Sheep,IMG_0193.JPG,TRUE,19H 29M 21S,19.48916667,0.812048611,5.102251902,4.7245139
C11,C11_031617_060917,Sheep,3/23/2017 9:19,3/23/2017,9:19:04,2502,Reviewed/C11_031617_060917/Sheep,IMG_0298.JPG,TRUE,9H 19M 4S,9.317777778,0.388240741,2.439388518,2.118938187
C11,C11_031617_060917,Sheep,3/23/2017 12:10,3/23/2017,12:10:44,2004,Reviewed/C11_031617_060917/Sheep,IMG_0319.JPG,TRUE,12H 10M 44S,12.17888889,0.507453704,3.188425655,2.850541526
C11,C11_031617_060917,Sheep,3/23/2017 16:58,3/23/2017,16:58:58,1587,Reviewed/C11_031617_060917/Sheep,IMG_0355.JPG,TRUE,16H 58M 58S,16.98277778,0.707615741,4.446080825,4.078924841
C11,C11_031617_060917,Sheep,3/23/2017 19:00,3/23/2017,19:00:33,1566,Reviewed/C11_031617_060917/Sheep,IMG_0404.JPG,TRUE,19H 0M 33S,19.00916667,0.792048611,4.976588196,4.597084681
C11,C11_031617_060917,Sheep,3/24/2017 3:55,3/24/2017,3:55:25,7252,Reviewed/C11_031617_060917/Sheep,IMG_0421.JPG,TRUE,3H 55M 25S,3.923611111,0.163483796,1.027198987,0.702934164
C11,C11_031617_060917,Sheep,3/24/2017 18:21,3/24/2017,18:21:36,14214,Reviewed/C11_031617_060917/Sheep,IMG_0433.JPG,TRUE,18H 21M 36S,18.36,0.765,4.80663676,4.427913567
C11,C11_031617_060917,Sheep,3/24/2017 20:46,3/24/2017,20:46:01,2969,Reviewed/C11_031617_060917/Sheep,IMG_0460.JPG,TRUE,20H 46M 1S,20.76694444,0.865289352,5.436773342,5.059772334
C11,C11_031617_060917,Sheep,3/25/2017 6:46,3/25/2017,6:46:59,24571,Reviewed/C11_031617_060917/Sheep,IMG_0472.JPG,TRUE,6H 46M 59S,6.783055556,0.282627315,1.775799792,1.479346173
C11,C11_031617_060917,Sheep,3/25/2017 16:58,3/25/2017,16:58:48,14333,Reviewed/C11_031617_060917/Sheep,IMG_0574.JPG,TRUE,16H 58M 48S,16.98,0.7075,4.445353605,4.07431848
C11,C11_031617_060917,Sheep,3/25/2017 19:35,3/25/2017,19:35:35,2405,Reviewed/C11_031617_060917/Sheep,IMG_0616.JPG,TRUE,19H 35M 35S,19.59305556,0.816377315,5.12944995,4.73952466
C11,C11_031617_060917,Sheep,3/26/2017 2:46,3/26/2017,2:46:46,13778,Reviewed/C11_031617_060917/Sheep,IMG_0673.JPG,TRUE,2H 46M 46S,2.779444444,0.115810185,0.727656854,0.400580054
C11,C11_031617_060917,Sheep,3/26/2017 6:46,3/26/2017,6:46:11,5543,Reviewed/C11_031617_060917/Sheep,IMG_0682.JPG,TRUE,6H 46M 11S,6.769722222,0.282071759,1.772309133,1.482516544
C11,C11_031617_060917,Sheep,3/26/2017 11:10,3/26/2017,11:10:05,3919,Reviewed/C11_031617_060917/Sheep,IMG_0736.JPG,TRUE,11H 10M 5S,11.16805556,0.465335648,2.923790107,2.6015203
C11,C11_031617_060917,Sheep,3/26/2017 16:24,3/26/2017,16:24:56,6263,Reviewed/C11_031617_060917/Sheep,IMG_0772.JPG,TRUE,16H 24M 56S,16.41555556,0.683981481,4.297582395,3.929547922
C11,C11_031617_060917,Sheep,3/27/2017 0:19,3/27/2017,0:19:23,19009,Reviewed/C11_031617_060917/Sheep,IMG_0796.JPG,TRUE,19M 23S,0.323055556,0.013460648,0.084575747,6.018121697
C11,C11_031617_060917,Sheep,3/27/2017 5:50,3/27/2017,5:50:05,4959,Reviewed/C11_031617_060917/Sheep,IMG_0805.JPG,TRUE,5H 50M 5S,5.834722222,0.243113426,1.527526706,1.234881331
C11,C11_031617_060917,Sheep,3/27/2017 16:23,3/27/2017,16:23:35,32492,Reviewed/C11_031617_060917/Sheep,IMG_0874.JPG,TRUE,16H 23M 35S,16.39305556,0.683043981,4.291691909,3.922453602
C11,C11_031617_060917,Sheep,3/27/2017 18:57,3/27/2017,18:57:30,930,Reviewed/C11_031617_060917/Sheep,IMG_0886.JPG,TRUE,18H 57M 30S,18.95833333,0.789930556,4.96328006,4.569457307
C11,C11_031617_060917,Sheep,3/27/2017 21:18,3/27/2017,21:18:49,965,Reviewed/C11_031617_060917/Sheep,IMG_1013.JPG,TRUE,21H 18M 49S,21.31361111,0.88806713,5.579890341,5.199131499
C11,C11_031617_060917,Sheep,3/28/2017 1:35,3/28/2017,1:35:55,2089,Reviewed/C11_031617_060917/Sheep,IMG_1045.JPG,TRUE,1H 35M 55S,1.598611111,0.066608796,0.41851541,0.083736636
C11,C11_031617_060917,Sheep,3/28/2017 4:39,3/28/2017,4:39:49,4036,Reviewed/C11_031617_060917/Sheep,IMG_1069.JPG,TRUE,4H 39M 49S,4.663611111,0.19431713,1.220930534,0.920919894
C11,C11_031617_060917,Sheep,3/28/2017 6:47,3/28/2017,6:47:02,1586,Reviewed/C11_031617_060917/Sheep,IMG_1087.JPG,TRUE,6H 47M 2S,6.783888889,0.282662037,1.776017958,1.500058901
C11,C11_031617_060917,Sheep,3/28/2017 12:23,3/28/2017,12:23:05,5515,Reviewed/C11_031617_060917/Sheep,IMG_1130.JPG,TRUE,12H 23M 5S,12.38472222,0.516030093,3.242312696,2.913527855
C11,C11_031617_060917,Sheep,3/28/2017 18:18,3/28/2017,18:18:35,5414,Reviewed/C11_031617_060917/Sheep,IMG_1168.JPG,TRUE,18H 18M 35S,18.30972222,0.762905093,4.793474069,4.402838318
C11,C11_031617_060917,Sheep,3/28/2017 22:55,3/28/2017,22:55:44,2639,Reviewed/C11_031617_060917/Sheep,IMG_1282.JPG,TRUE,22H 55M 44S,22.92888889,0.95537037,6.002769074,5.637706038
C11,C11_031617_060917,Sheep,3/29/2017 6:48,3/29/2017,6:48:00,24520,Reviewed/C11_031617_060917/Sheep,IMG_1291.JPG,TRUE,5H 48M 0S,5.8,0.241666667,1.518436449,1.237234809
C11,C11_031617_060917,Sheep,3/29/2017 15:33,3/29/2017,15:33:31,1035,Reviewed/C11_031617_060917/Sheep,IMG_1315.JPG,TRUE,15H 33M 31S,15.55861111,0.648275463,4.073234864,3.71064604
C11,C11_031617_060917,Sheep,3/29/2017 18:27,3/29/2017,18:27:07,5242,Reviewed/C11_031617_060917/Sheep,IMG_1342.JPG,TRUE,18H 27M 7S,18.45194444,0.768831019,4.830707759,4.435460467
C11,C11_031617_060917,Sheep,3/30/2017 19:29,3/30/2017,19:29:14,85853,Reviewed/C11_031617_060917/Sheep,IMG_1384.JPG,TRUE,19H 29M 14S,19.48722222,0.811967593,5.101742848,4.690834466
C11,C11_031617_060917,Sheep,3/31/2017 9:45,3/31/2017,9:45:20,11172,Reviewed/C11_031617_060917/Sheep,IMG_1429.JPG,TRUE,9H 45M 20S,9.755555556,0.406481481,2.553998472,2.265301584
C11,C11_031617_060917,Sheep,3/31/2017 16:34,3/31/2017,16:34:41,13947,Reviewed/C11_031617_060917/Sheep,IMG_1453.JPG,TRUE,16H 34M 41S,16.57805556,0.690752315,4.340124795,3.962983406
C11,C11_031617_060917,Sheep,3/31/2017 19:04,3/31/2017,19:04:29,2643,Reviewed/C11_031617_060917/Sheep,IMG_1486.JPG,TRUE,19H 4M 29S,19.07472222,0.794780093,4.9937506,4.584243299
C11,C11_031617_060917,Sheep,3/31/2017 20:04,3/31/2017,20:04:25,981,Reviewed/C11_031617_060917/Sheep,IMG_1513.JPG,TRUE,20H 4M 25S,20.07361111,0.836400463,5.2552591,4.846038535
