"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected","Time_Decimal","Time_Scaled","Time_Radians","Time_Sun"
"5680",1,"B10","B10_092916_022217","Bobcat","1/29/2017 5:19","1/29/2017","5:19:34",166677,"Reviewed/B10_092916_022217/Bobcat","IMG_0316.JPG","Bobcat",NA,NA,NA,FALSE,"5H 19M 34S",5.326111111,0.221921296,1.394372628,1.111452243
"5989",1,"B12","B12_092916_022217","Bobcat","1/6/2017 3:42","1/6/2017","3:42:59",99197,"Reviewed/B12_092916_022217/Bobcat","IMG_0568.JPG","Bobcat",NA,NA,NA,FALSE,"3H 42M 59S",3.716388889,0.154849537,0.972948336,0.741856476
"7135",1,"B14","B14_071916_120316","Bobcat","11/15/2016 17:35","11/15/2016","17:35:35",0,"Reviewed/B14_071916_120316/Bobcat","2016 11 15 17 35 35.jpg","Bobcat",NA,NA,NA,FALSE,"17H 35M 35S",17.59305556,0.733043981,4.605851174,4.854130838
"8086",1,"C03","C03_021817_060917","Bobcat","5/16/2017 12:21","5/16/2017","12:21:58",7168425,"Reviewed/C03_021817_060917/Bobcat","IMG_0559.JPG","Bobcat",NA,NA,NA,TRUE,"12H 21M 58S",12.36611111,0.51525463,3.237440318,2.970140733
"8221",1,"C03","C03_040316_061116","Bobcat","5/24/2016 6:33","5/24/2016","6:33:23",1121591,"Reviewed/C03_040316_061116/Bobcat","2016 05 24 06 33 23.jpg","Bobcat",NA,NA,NA,TRUE,"6H 33M 23S",6.556388889,0.27318287,1.716458597,1.718414503
"8296",1,"C03","C03_060917_092017","Bobcat","9/8/2017 13:19","9/8/2017","13:19:40",0,"Reviewed/C03_060917_092017/Bobcat","IMG_7138.JPG","Bobcat",NA,NA,NA,TRUE,"13H 19M 40S",13.32777778,0.555324074,3.489204063,3.183465822
"8839",1,"C03","C03_092017_121417","Bobcat","10/30/2017 6:19","10/30/2017","6:19:47",2820808,"Reviewed/C03_092017_121417/Bobcat","IMG_2296.JPG","Bobcat",NA,NA,NA,TRUE,"6H 19M 47S",6.329722222,0.263738426,1.657117403,1.265756703
"9232",1,"C03","C03_092916_021817","Bobcat","11/22/2016 10:39","11/22/2016","10:39:15",0,"Reviewed/C03_092916_021817/Bobcat","IMG_0502.JPG","Bobcat",NA,NA,NA,FALSE,"10H 39M 15S",10.65416667,0.443923611,2.789254311,2.719600227
"9235",1,"C03","C03_092916_021817","Bobcat","2/13/2017 18:09","2/13/2017","18:09:30",2634316,"Reviewed/C03_092916_021817/Bobcat","IMG_0823.JPG","Bobcat",NA,NA,NA,FALSE,"18H 9M 30S",18.15833333,0.756597222,4.75384055,4.797558055
"9577",1,"C05","C05_112416_031317","Bobcat","12/13/2016 17:59","12/13/2016","17:59:15",0,"Reviewed/C05_112416_031317/Bobcat","IMG_0037.JPG","Bobcat",NA,NA,NA,FALSE,"17H 59M 15S",17.9875,0.749479167,4.709116488,4.959542082
"10330",1,"C09","C09_090717_120817","Bobcat","10/21/2017 8:09","10/21/2017","8:09:54",0,"Reviewed/C09_090717_120817/Bobcat","IMG_0202.JPG","Bobcat",NA,NA,NA,TRUE,"8H 9M 54S",8.165,0.340208333,2.137592001,1.769741834
"10412",1,"C11","C11_031617_060917","Dog","3/23/2017 21:42","3/23/2017","21:42:51",48425,"Reviewed/C11_031617_060917/Dog","IMG_0412.JPG","Dog",NA,NA,NA,TRUE,"21H 42M 51S",21.71416667,0.904756944,5.68475554,5.31690985
"10415",1,"C11","C11_031617_060917","Dog","4/1/2017 6:14","4/1/2017","6:14:47",111077,"Reviewed/C11_031617_060917/Dog","IMG_1519.JPG","Dog",NA,NA,NA,TRUE,"6H 14M 47S",6.246388889,0.260266204,1.635300787,1.378919325
"10418",1,"C11","C11_031617_060917","Dog","5/24/2017 5:19","5/24/2017","5:19:10",344174,"Reviewed/C11_031617_060917/Dog","IMG_3322.JPG","Dog",NA,NA,NA,TRUE,"5H 19M 10S",5.319444444,0.221643519,1.392627299,1.386050806
