Camera,Phase,Species,Detections,Latitude,Longitude,Operation,Foxlight,Sheep_Presence,RAI,Dog_RAI,Ind_Dogs,Elevation,Rugged.121,Dist.Water
Cam06,Phase7,LYRU,0,38.99792,-123.06911,42,FoxY,N,0,0,0,-1.016091704,0.044292416,-0.965466142
Cam06,Phase8,LYRU,0,38.99792,-123.06911,62,FoxN,Y,0,0,0,-1.016091704,0.044292416,-0.965466142
Cam06,Phase9,LYRU,0,38.99792,-123.06911,49,FoxY,N,0,0,0,-1.016091704,0.044292416,-0.965466142
Cam07,Phase1,LYRU,4,38.98655,-123.06876,63,FoxN,Y,0.063492063,0.3015873,2,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase2,LYRU,1,38.98655,-123.06876,35,FoxY,Y,0.028571429,0.02857143,1,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase3,LYRU,0,38.98655,-123.06876,35,FoxN,Y,0,0.05714286,3,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase4,LYRU,0,38.98655,-123.06876,35,FoxY,Y,0,0.2,2,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase5,LYRU,0,38.98655,-123.06876,25,FoxN,Y,0,0.08,2,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase6,LYRU,0,38.98655,-123.06876,63,FoxY,Y,0,0,0,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase7,LYRU,0,38.98655,-123.06876,42,FoxN,N,0,0,0,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase8,LYRU,0,38.98655,-123.06876,62,FoxY,N,0,0,0,-1.043511271,-0.297550231,-0.881544232
Cam07,Phase9,LYRU,0,38.98655,-123.06876,49,FoxN,Y,0,0.24489796,3,-1.043511271,-0.297550231,-0.881544232
Cam08,Phase1,LYRU,3,38.99002,-123.06616,34,FoxY,Y,0.088235294,0.32352941,3,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase2,LYRU,0,38.99002,-123.06616,35,FoxN,N,0,0.02857143,1,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase3,LYRU,1,38.99002,-123.06616,35,FoxY,Y,0.028571429,0.05714286,1,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase4,LYRU,1,38.99002,-123.06616,35,FoxN,Y,0.028571429,0.22857143,3,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase5,LYRU,9,38.99002,-123.06616,95,FoxY,Y,0.094736842,0.12631579,2,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase7,LYRU,1,38.99002,-123.06616,42,FoxY,N,0.023809524,0,0,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase8,LYRU,2,38.99002,-123.06616,62,FoxN,N,0.032258065,0,0,-1.020259261,-0.168874606,-0.730962813
Cam08,Phase9,LYRU,0,38.99002,-123.06616,49,FoxY,Y,0,0.12244898,2,-1.020259261,-0.168874606,-0.730962813
Cam09,Phase1,LYRU,0,39.0066,-123.0793,50,FoxN,N,0,0,0,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase2,LYRU,0,39.0066,-123.0793,35,FoxY,N,0,0,0,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase3,LYRU,1,39.0066,-123.0793,35,FoxN,N,0.028571429,0,0,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase4,LYRU,0,39.0066,-123.0793,35,FoxY,Y,0,0.02857143,1,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase5,LYRU,0,39.0066,-123.0793,27,FoxN,Y,0,0,0,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase8,LYRU,2,39.0066,-123.0793,37,FoxY,Y,0.054054054,0.10810811,2,-0.757251263,-0.783338249,-0.780237377
Cam09,Phase9,LYRU,4,39.0066,-123.0793,41,FoxN,N,0.097560976,0,0,-0.757251263,-0.783338249,-0.780237377
