"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected","Time_Decimal","Time_Scaled","Time_Radians","Time_Sun"
"502",2,"B02","B02_080318_121718","Bobcat","8/28/2018 14:25","8/28/2018","14:25:41",0,"Reviewed Phase 2/B02_080318_121718/Bobcat","08280837.JPG","Bobcat",NA,NA,NA,TRUE,"14H 25M 41S",14.42805556,0.601168981,3.777256112,3.429740409
"680",2,"B02","B02_080318_121718","Dog","8/3/2018 10:22","8/3/2018","10:22:13",0,"Reviewed Phase 2/B02_080318_121718/Dog","08030834.JPG","Dog",NA,NA,NA,TRUE,"10H 22M 13S",10.37027778,0.432094907,2.714932374,2.4884559
"769",2,"B02","B02_120717_040318","Bobcat","3/17/2018 17:29","3/17/2018","17:29:02",7184739,"Reviewed Phase 2/B02_120717_040318/Bobcat","IMG_1744.JPG","Bobcat",NA,NA,NA,TRUE,"17H 29M 2S",17.48388889,0.72849537,4.577271407,4.222626806
"1462",2,"B04","B04_121317_031218","Bobcat","12/17/2017 17:19","12/17/2017","17:19:03",0,"Reviewed Phase 2/B04_121317_031218/Bobcat","IMG_0193.JPG","Bobcat",NA,NA,NA,FALSE,"17H 19M 3S",17.3175,0.7215625,4.533710898,4.810451415
"1465",2,"B04","B04_121317_031218","Bobcat","1/21/2018 13:50","1/21/2018","13:50:55",93192,"Reviewed Phase 2/B04_121317_031218/Bobcat","IMG_1348.JPG","Bobcat",NA,NA,NA,FALSE,"13H 50M 55S",13.84861111,0.577025463,3.625557911,3.601669758
"1468",2,"B04","B04_121317_031218","Bobcat","3/1/2018 16:03","3/1/2018","16:03:34",544665,"Reviewed Phase 2/B04_121317_031218/Bobcat","IMG_3103.JPG","Bobcat",NA,NA,NA,FALSE,"16H 3M 34S",16.05944444,0.669143519,4.204352724,4.151155235
"1753",2,"B06","B06_040318_060818","Bobcat","5/20/2018 7:48","5/20/2018","7:48:16",1905275,"Reviewed Phase 2/B06_040318_060818/Bobcat","IMG_0442.JPG","Bobcat",NA,NA,NA,TRUE,"7H 48M 16S",7.804444444,0.325185185,2.043198778,1.979654665
"2372",2,"B12","B12_090518_121118","Dog","11/23/2018 8:27","11/23/2018","8:27:06",779215,"Reviewed Phase 2/B12_090518_121118/Dog","IMG_1570.JPG","Dog",NA,NA,NA,FALSE,"8H 27M 6S",8.451666667,0.352152778,2.212641159,2.013461582
"2379",2,"B12","B12_090518_121118","Sheep","11/14/2018 8:32","11/14/2018","8:32:59",1907,"Reviewed Phase 2/B12_090518_121118/Sheep","IMG_1267.JPG","Sheep",NA,NA,NA,FALSE,"8H 32M 59S",8.549722222,0.356238426,2.238312044,2.083877676
"2382",2,"B12","B12_090518_121118","Sheep","11/18/2018 8:48","11/18/2018","8:48:43",1262,"Reviewed Phase 2/B12_090518_121118/Sheep","IMG_1405.JPG","Sheep",NA,NA,NA,FALSE,"8H 48M 43S",8.811944444,0.367164352,2.306961661,2.14958504
"2385",2,"B12","B12_090518_121118","Sheep","11/27/2018 11:06","11/27/2018","11:06:22",180620,"Reviewed Phase 2/B12_090518_121118/Sheep","IMG_1603.JPG","Sheep",NA,NA,NA,FALSE,"11H 6M 22S",11.10611111,0.46275463,2.90757309,2.853254507
"2432",2,"B12","B12_120617_032618","Dog","1/20/2018 4:26","1/20/2018","4:26:48",195975,"Reviewed Phase 2/B12_120617_032618/Dog","IMG_1054.JPG","Dog",NA,NA,NA,FALSE,"4H 26M 48S",4.446666667,0.185277778,1.164134611,0.901573937
"2439",2,"B12","B12_120617_032618","Sheep","1/15/2018 9:10","1/15/2018","9:10:14",54776,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_0247.JPG","Sheep",NA,NA,NA,FALSE,"9H 10M 14S",9.170555556,0.382106481,2.40084583,2.111472033
"2442",2,"B12","B12_120617_032618","Sheep","1/15/2018 12:11","1/15/2018","12:11:29",2627,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_0373.JPG","Sheep",NA,NA,NA,FALSE,"12H 11M 29S",12.19138889,0.507974537,3.191698148,3.085170167
"2445",2,"B12","B12_120617_032618","Sheep","1/17/2018 9:10","1/17/2018","9:10:03",85770,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_0458.JPG","Sheep",NA,NA,NA,FALSE,"9H 10M 3S",9.1675,0.381979167,2.400045888,2.112059906
"2448",2,"B12","B12_120617_032618","Sheep","1/17/2018 21:31","1/17/2018","21:31:53",920,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_0796.JPG","Sheep",NA,NA,NA,FALSE,"21H 31M 53S",21.53138889,0.897141204,5.63690443,5.653612544
"2451",2,"B12","B12_120617_032618","Sheep","1/20/2018 11:39","1/20/2018","11:39:48",74440,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1063.JPG","Sheep",NA,NA,NA,FALSE,"11H 39M 48S",11.66333333,0.485972222,3.053453526,2.909359128
"2454",2,"B12","B12_120617_032618","Sheep","1/20/2018 18:52","1/20/2018","18:52:42",3884,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1186.JPG","Sheep",NA,NA,NA,FALSE,"18H 52M 42S",18.87833333,0.786597222,4.942336109,5.056461882
"2457",2,"B12","B12_120617_032618","Sheep","1/22/2018 14:57","1/22/2018","14:57:20",11079,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1216.JPG","Sheep",NA,NA,NA,FALSE,"14H 57M 20S",14.95555556,0.623148148,3.915355289,3.949005369
"2460",2,"B12","B12_120617_032618","Sheep","1/23/2018 10:15","1/23/2018","10:15:19",3621,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1252.JPG","Sheep",NA,NA,NA,FALSE,"10H 15M 19S",10.25527778,0.427303241,2.684825444,2.463013323
"2463",2,"B12","B12_120617_032618","Sheep","1/24/2018 9:44","1/24/2018","9:44:58",68594,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1342.JPG","Sheep",NA,NA,NA,FALSE,"9H 44M 58S",9.749444444,0.406226852,2.552398587,2.304711345
"2466",2,"B12","B12_120617_032618","Sheep","1/25/2018 1:12","1/25/2018","1:12:10",5863,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1501.JPG","Sheep",NA,NA,NA,FALSE,"1H 12M 10S",1.202777778,0.050115741,0.314886486,0.177034738
"2469",2,"B12","B12_120617_032618","Sheep","2/5/2018 2:58","2/5/2018","2:58:22",809117,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1573.JPG","Sheep",NA,NA,NA,FALSE,"2H 58M 22S",2.972777778,0.123865741,0.778271402,0.58406409
"2472",2,"B12","B12_120617_032618","Sheep","2/8/2018 12:09","2/8/2018","12:09:25",62842,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1660.JPG","Sheep",NA,NA,NA,FALSE,"12H 9M 25S",12.15694444,0.506539352,3.182680613,3.055153137
"2475",2,"B12","B12_120617_032618","Sheep","2/10/2018 8:52","2/10/2018","8:52:54",50500,"Reviewed Phase 2/B12_120617_032618/Sheep","IMG_1702.JPG","Sheep",NA,NA,NA,FALSE,"8H 52M 54S",8.881666667,0.370069444,2.325214896,2.08286777
"2596",2,"B14","B14_060618_090818","Bobcat","8/15/2018 0:41","8/15/2018","0:41:10",0,"Reviewed Phase 2/B14_060618_090818/Bobcat","IMG_6655.JPG","Bobcat",NA,NA,NA,TRUE,"41M 10S",0.686111111,0.028587963,0.179623469,6.104189156
"3124",2,"B14","B14_090818_121818","Bobcat","10/13/2018 9:28","10/13/2018","9:28:19",1523,"Reviewed Phase 2/B14_090818_121818/Bobcat","IMG_2497.JPG","Bobcat",NA,NA,NA,TRUE,"9H 28M 19S",9.471944444,0.394664352,2.479749257,2.166909337
"3524",2,"B14","B14_090818_121818","Dog","11/20/2018 16:25","11/20/2018","16:25:01",807339,"Reviewed Phase 2/B14_090818_121818/Dog","IMG_6484.JPG","Dog",NA,NA,NA,FALSE,"16H 25M 1S",16.41694444,0.684039352,4.297946005,4.554983821
